DATE,PRCP,TMAX,TMIN,RAIN
9-Apr,0.0,58.0,38.0,FALSE
9-Apr,0.0,68.0,47.0,FALSE
9-Apr,0.0,74.0,47.0,FALSE
9-Apr,0.0,71.0,48.0,TRUE
9-Apr,0.25,53.0,39.0,TRUE
9-Apr,0.06,54.0,37.0,FALSE
9-Apr,0.0,60.0,37.0,FALSE
9-Apr,0.0,53.0,41.0,FALSE
9-Apr,0.0,58.0,40.0,FALSE
9-Apr,0.0,62.0,44.0,TRUE
9-Apr,0.12,54.0,45.0,FALSE
9-Apr,0.0,59.0,44.0,FALSE
9-Apr,0.0,64.0,41.0,FALSE
9-May,0.0,73.0,45.0,TRUE
9-May,0.32,66.0,46.0,TRUE
9-May,0.01,62.0,44.0,TRUE
9-May,0.36,62.0,45.0,TRUE
9-May,0.59,56.0,47.0,TRUE
9-May,0.89,54.0,46.0,FALSE
9-May,0.0,58.0,44.0,FALSE
9-May,0.0,58.0,43.0,FALSE
9-May,0.0,64.0,44.0,TRUE
9-May,0.04,64.0,45.0,TRUE
9-May,0.03,61.0,45.0,TRUE
9-May,0.04,56.0,40.0,TRUE
9-May,0.44,52.0,42.0,TRUE
9-May,0.32,55.0,45.0,FALSE
9-May,0.0,66.0,43.0,FALSE
9-May,0.0,76.0,46.0,FALSE
9-May,0.0,75.0,50.0,TRUE
9-May,0.45,66.0,48.0,TRUE
9-May,0.12,58.0,46.0,FALSE
9-May,0.0,62.0,46.0,FALSE
9-May,0.0,67.0,45.0,FALSE
9-May,0.0,70.0,49.0,FALSE
9-May,0.0,71.0,49.0,FALSE
9-May,0.0,71.0,47.0,FALSE
9-May,0.0,69.0,47.0,FALSE
9-May,0.0,65.0,52.0,FALSE
9-May,0.0,67.0,46.0,FALSE
9-May,0.0,77.0,48.0,FALSE
9-May,0.0,83.0,55.0,FALSE
9-May,0.0,78.0,53.0,FALSE
9-May,0.0,80.0,54.0,FALSE
9-Jun,0.0,82.0,53.0,FALSE
9-Jun,0.0,88.0,61.0,FALSE
9-Jun,0.0,89.0,64.0,FALSE
9-Jun,0.0,91.0,60.0,FALSE
9-Jun,0.0,68.0,56.0,FALSE
9-Jun,0.0,63.0,55.0,FALSE
9-Jun,0.0,67.0,53.0,FALSE
9-Jun,0.0,73.0,52.0,FALSE
9-Jun,0.0,79.0,56.0,FALSE
9-Jun,0.0,75.0,54.0,FALSE
9-Jun,0.0,73.0,55.0,FALSE
9-Jun,0.0,76.0,56.0,FALSE
9-Jun,0.0,75.0,53.0,FALSE
9-Jun,0.0,63.0,54.0,FALSE
9-Jun,0.0,73.0,54.0,FALSE
9-Jun,0.0,71.0,55.0,FALSE
9-Jun,0.0,68.0,57.0,TRUE
9-Jun,0.01,72.0,56.0,TRUE
9-Jun,0.09,69.0,54.0,FALSE
9-Jun,0.0,65.0,52.0,TRUE
9-Jun,0.04,65.0,51.0,TRUE
9-Jun,0.01,68.0,51.0,FALSE
9-Jun,0.0,72.0,52.0,FALSE
9-Jun,0.0,72.0,56.0,TRUE
9-Jun,0.03,70.0,54.0,FALSE
9-Jun,0.0,69.0,52.0,FALSE
9-Jun,0.0,79.0,52.0,FALSE
9-Jun,0.0,70.0,54.0,FALSE
9-Jun,0.0,74.0,49.0,FALSE
9-Jun,0.0,75.0,51.0,FALSE
9-Jul,0.0,79.0,56.0,FALSE
9-Jul,0.0,83.0,59.0,FALSE
9-Jul,0.0,88.0,57.0,FALSE
9-Jul,0.0,87.0,57.0,FALSE
9-Jul,0.0,81.0,58.0,FALSE
9-Jul,0.0,67.0,54.0,FALSE
9-Jul,0.0,68.0,54.0,FALSE
9-Jul,0.0,65.0,53.0,FALSE
9-Jul,0.0,74.0,55.0,FALSE
9-Jul,0.0,82.0,57.0,FALSE
9-Jul,0.0,85.0,56.0,TRUE
9-Jul,0.04,65.0,56.0,TRUE
9-Jul,0.02,64.0,54.0,FALSE
9-Jul,0.0,71.0,53.0,FALSE
9-Jul,0.0,81.0,52.0,FALSE
9-Jul,0.0,87.0,59.0,FALSE
9-Jul,0.0,90.0,61.0,FALSE
9-Jul,0.0,78.0,57.0,FALSE
9-Jul,0.0,77.0,55.0,FALSE
9-Jul,0.0,81.0,59.0,FALSE
9-Jul,0.0,87.0,59.0,FALSE
9-Jul,0.0,73.0,56.0,FALSE
9-Jul,0.0,69.0,56.0,FALSE
9-Jul,0.0,79.0,55.0,FALSE
9-Jul,0.0,86.0,62.0,FALSE
9-Jul,0.0,89.0,61.0,FALSE
9-Jul,0.0,94.0,65.0,FALSE
9-Jul,0.0,97.0,69.0,FALSE
9-Jul,0.0,103.0,71.0,FALSE
9-Jul,0.0,96.0,62.0,FALSE
9-Jul,0.0,84.0,58.0,FALSE
9-Aug,0.0,90.0,57.0,FALSE
9-Aug,0.0,89.0,60.0,FALSE
9-Aug,0.0,83.0,56.0,FALSE
9-Aug,0.0,73.0,56.0,FALSE
9-Aug,0.0,68.0,55.0,FALSE
9-Aug,0.0,70.0,56.0,FALSE
9-Aug,0.0,65.0,56.0,FALSE
9-Aug,0.0,66.0,55.0,FALSE
9-Aug,0.0,76.0,59.0,TRUE
9-Aug,0.13,67.0,56.0,TRUE
9-Aug,0.32,70.0,59.0,TRUE
9-Aug,0.15,73.0,57.0,TRUE
9-Aug,0.16,65.0,55.0,FALSE
9-Aug,0.0,69.0,55.0,FALSE
9-Aug,0.0,68.0,52.0,FALSE
9-Aug,0.0,75.0,54.0,FALSE
9-Aug,0.0,82.0,58.0,FALSE
9-Aug,0.0,84.0,59.0,FALSE
9-Aug,0.0,87.0,61.0,FALSE
9-Aug,0.0,78.0,60.0,FALSE
9-Aug,0.0,69.0,58.0,FALSE
9-Aug,0.0,73.0,58.0,FALSE
9-Aug,0.0,70.0,57.0,FALSE
9-Aug,0.0,75.0,52.0,TRUE
9-Aug,0.03,71.0,54.0,FALSE
9-Aug,0.0,76.0,55.0,FALSE
9-Aug,0.0,88.0,54.0,TRUE
9-Aug,0.01,78.0,57.0,TRUE
9-Aug,0.36,71.0,59.0,FALSE
9-Aug,0.0,76.0,55.0,FALSE
9-Aug,0.0,70.0,56.0,FALSE
9-Sep,0.0,64.0,55.0,FALSE
9-Sep,0.0,76.0,54.0,TRUE
9-Sep,0.12,71.0,56.0,FALSE
9-Sep,0.0,76.0,55.0,TRUE
9-Sep,0.31,66.0,58.0,TRUE
9-Sep,0.93,62.0,52.0,TRUE
9-Sep,0.01,65.0,54.0,FALSE
9-Sep,0.0,69.0,51.0,TRUE
9-Sep,0.01,74.0,55.0,FALSE
9-Sep,0.0,73.0,57.0,FALSE
9-Sep,0.0,87.0,56.0,FALSE
9-Sep,0.0,83.0,56.0,FALSE
9-Sep,0.0,76.0,56.0,FALSE
9-Sep,0.0,70.0,58.0,FALSE
9-Sep,0.0,78.0,59.0,TRUE
9-Sep,0.01,71.0,59.0,FALSE
9-Sep,0.0,70.0,57.0,FALSE
9-Sep,0.0,80.0,54.0,TRUE
9-Sep,0.29,67.0,57.0,FALSE
9-Sep,0.0,67.0,50.0,FALSE
9-Sep,0.0,76.0,49.0,FALSE
9-Sep,0.0,87.0,53.0,FALSE
9-Sep,0.0,81.0,55.0,FALSE
9-Sep,0.0,67.0,51.0,FALSE
9-Sep,0.0,72.0,49.0,FALSE
9-Sep,0.0,70.0,50.0,FALSE
9-Sep,0.0,68.0,48.0,FALSE
9-Sep,0.0,63.0,45.0,TRUE
9-Sep,0.07,59.0,46.0,FALSE
9-Sep,0.0,59.0,42.0,TRUE
9-Oct,0.08,62.0,51.0,TRUE
9-Oct,0.14,58.0,47.0,FALSE
9-Oct,0.0,57.0,44.0,FALSE
9-Oct,0.0,65.0,48.0,FALSE
